line,direction,from_station,to_station,interval_min
9,往上海松江站,曹路,民雷路,2
9,往上海松江站,民雷路,顾唐路,2
9,往上海松江站,顾唐路,金海路,3
9,往上海松江站,金海路,金吉路,2
9,往上海松江站,金吉路,金桥,2
9,往上海松江站,金桥,台儿庄路,3
9,往上海松江站,台儿庄路,蓝天路,3
9,往上海松江站,蓝天路,芳甸路,3
9,往上海松江站,杨高中路,世纪大道,4
9,往上海松江站,世纪大道,商城路,2
9,往上海松江站,商城路,小南门,4
9,往上海松江站,小南门,陆家浜路,3
9,往上海松江站,陆家浜路,马当路,2
9,往上海松江站,马当路,打浦桥,2
9,往上海松江站,打浦桥,嘉善路,2
9,往上海松江站,嘉善路,肇嘉浜路,2
9,往上海松江站,肇嘉浜路,徐家汇,3
9,往上海松江站,徐家汇,宜山路,3
9,往上海松江站,宜山路,桂林路,3
9,往上海松江站,桂林路,漕河泾开发区,3
9,往上海松江站,漕河泾开发区,合川路,2
9,往上海松江站,合川路,星中路,3
9,往上海松江站,星中路,七宝,3
9,往上海松江站,七宝,中春路,3
9,往上海松江站,中春路,九亭,4
9,往上海松江站,九亭,泗泾,6
9,往上海松江站,泗泾,佘山,5
9,往上海松江站,佘山,洞泾,3
9,往上海松江站,洞泾,松江大学城,4
9,往上海松江站,松江大学城,松江新城,4
9,往上海松江站,松江新城,松江体育中心,3
9,往上海松江站,松江体育中心,醉白池,3
9,往上海松江站,醉白池,上海松江站,3
9,往曹路,上海松江站,醉白池,4
9,往曹路,醉白池,松江体育中心,3
9,往曹路,松江体育中心,松江新城,3
9,往曹路,松江新城,松江大学城,3
9,往曹路,松江大学城,洞泾,5
9,往曹路,洞泾,佘山,3
9,往曹路,佘山,泗泾,4
9,往曹路,泗泾,九亭,7
9,往曹路,中春路,七宝,2
9,往曹路,七宝,星中路,3
9,往曹路,星中路,合川路,3
9,往曹路,合川路,漕河泾开发区,3
9,往曹路,漕河泾开发区,桂林路,3
9,往曹路,桂林路,宜山路,3
9,往曹路,宜山路,徐家汇,4
9,往曹路,徐家汇,肇嘉浜路,2
9,往曹路,肇嘉浜路,嘉善路,2
9,往曹路,嘉善路,打浦桥,2
9,往曹路,打浦桥,马当路,3
9,往曹路,马当路,陆家浜路,2
9,往曹路,陆家浜路,小南门,3
9,往曹路,小南门,商城路,3
9,往曹路,商城路,世纪大道,3
9,往曹路,世纪大道,杨高中路,3
9,往曹路,杨高中路,芳甸路,2
9,往曹路,芳甸路,蓝天路,3
9,往曹路,蓝天路,台儿庄路,4
9,往曹路,台儿庄路,金桥,2
9,往曹路,金桥,金吉路,3
9,往曹路,金吉路,金海路,2
9,往曹路,金海路,顾唐路,2
9,往曹路,顾唐路,民雷路,3
9,往曹路,民雷路,曹路,2
