line,station_id,station_name
13,station1321,金运路
13,station1322,金沙江西路
13,station1323,丰庄
13,station1324,祁连山南路
13,station1325,真北路
13,station1326,大渡河路
13,station1327,金沙江路
13,station1328,隆德路
13,station1329,武宁路
13,station1330,长寿路
13,station1331,江宁路
13,station1332,汉中路
13,station1333,自然博物馆
13,station1334,南京西路
13,station1335,淮海中路
13,station1336,一大会址·新天地
13,station1337,马当路
13,station1338,世博会博物馆
13,station1339,世博大道
13,station1340,长清路
13,station1341,成山路
13,station1342,东明路
13,station1343,华鹏路 
13,station1344,下南路
13,station1345,北蔡
13,station1346,陈春路 
13,station1347,莲溪路
13,station1348,华夏中路
13,station1349,中科路
13,station1350,学林路 
13,station1351,张江路
