line,station_id,station_name
15,station1521,紫竹高新区
15,station1522,永德路
15,station1523,元江路
15,station1524,双柏路
15,station1525,曙建路
15,station1526,景西路
15,station1527,虹梅南路
15,station1528,景洪路
15,station1529,朱梅路
15,station1530,罗秀路
15,station1531,华东理工大学
15,station1532,上海南站
15,station1533,桂林公园
15,station1534,桂林路
15,station1535,吴中路
15,station1536,姚虹路
15,station1537,红宝石路
15,station1538,娄山关路
15,station1539,长风公园
15,station1540,大渡河路
15,station1541,梅岭北路
15,station1542,铜川路
15,station1543,上海西站
15,station1544,武威东路
15,station1545,古浪路
15,station1546,祁安路
15,station1547,南大路
15,station1548,丰翔路
15,station1549,锦秋路
15,station1550,顾村公园
