line,station_id,station_name
9,station0918,上海松江站
9,station0919,醉白池
9,station0920,松江体育中心
9,station0921,松江新城
9,station0922,松江大学城
9,station0923,洞泾
9,station0924,佘山
9,station0925,泗泾
9,station0926,九亭
9,station0927,中春路
9,station0928,七宝
9,station0929,星中路
9,station0930,合川路
9,station0931,漕河泾开发区
9,station0932,桂林路
9,station0933,宜山路
9,station0934,徐家汇
9,station0935,肇嘉浜路
9,station0936,嘉善路
9,station0937,打浦桥
9,station0938,马当路
9,station0939,陆家浜路
9,station0940,小南门
9,station0941,商城路
9,station0942,世纪大道
9,station0943,杨高中路
9,station0944,芳甸路
9,station0945,蓝天路
9,station0946,台儿庄路
9,station0947,金桥
9,station0948,金吉路
9,station0949,金海路
9,station0950,顾唐路
9,station0951,民雷路
9,station0952,曹路
