line,station_id,station_name
2,station0233,蟠祥路·国家会计学院
2,station0234,国家会展中心
2,station0235,虹桥火车站
2,station0236,虹桥2号航站楼
2,station0237,淞虹路
2,station0238,北新泾
2,station0239,威宁路
2,station0240,娄山关路
2,station0241,中山公园
2,station0242,江苏路
2,station0243,静安寺
2,station0244,南京西路
2,station0245,人民广场
2,station0246,南京东路
2,station0247,陆家嘴
2,station0248,浦东南路
2,station0249,世纪大道
2,station0250,上海科技馆
2,station0251,世纪公园
2,station0252,龙阳路
2,station0253,张江高科
2,station0254,金科路
2,station0255,广兰路
2,station0256,唐镇
2,station0257,创新中路
2,station0258,华夏东路
2,station0259,川沙
2,station0260,凌空路
2,station0261,远东大道
2,station0262,海天三路
2,station0263,浦东1号2号航站楼
