line,station_id,station_name
14,station1421,封浜
14,station1422,乐秀路
14,station1423,临洮路
14,station1424,嘉怡路
14,station1425,定边路
14,station1426,真新新村
14,station1427,真光路
14,station1428,铜川路
14,station1429,真如
14,station1430,中宁路
14,station1431,曹杨路
14,station1432,武宁路
14,station1433,武定路
14,station1434,静安寺
14,station1435,一大会址·黄陂南路
14,station1436,大世界
14,station1437,豫园
14,station1438,陆家嘴
14,station1439,浦东南路
14,station1440,浦东大道
14,station1441,源深路
14,station1442,昌邑路
14,station1443,歇浦路
14,station1445,云山路
14,station1446,蓝天路
14,station1447,黄杨路
14,station1448,云顺路
14,station1449,浦东足球场
14,station1450,金粤路
14,station1451,桂桥路
