line,direction,from_station,to_station,interval_min
14,往封浜,桂桥路,金粤路,2
14,往封浜,金粤路,浦东足球场,2
14,往封浜,浦东足球场,云顺路,2
14,往封浜,云顺路,黄杨路,2
14,往封浜,黄杨路,蓝天路,3
14,往封浜,蓝天路,云山路,2
14,往封浜,云山路,歇浦路,4
14,往封浜,歇浦路,昌邑路,3
14,往封浜,昌邑路,源深路,2
14,往封浜,源深路,浦东大道,2
14,往封浜,浦东大道,浦东南路,2
14,往封浜,浦东南路,陆家嘴,2
14,往封浜,陆家嘴,豫园,3
14,往封浜,豫园,大世界,2
14,往封浜,大世界,一大会址·黄陂南路,2
14,往封浜,一大会址·黄陂南路,静安寺,4
14,往封浜,静安寺,武定路,2
14,往封浜,武定路,武宁路,2
14,往封浜,武宁路,曹杨路,2
14,往封浜,曹杨路,中宁路,2
14,往封浜,中宁路,真如,2
14,往封浜,真如,铜川路,2
14,往封浜,铜川路,真光路,2
14,往封浜,真光路,真新新村,2
14,往封浜,真新新村,定边路,2
14,往封浜,定边路,嘉怡路,3
14,往封浜,嘉怡路,临洮路,2
14,往封浜,临洮路,乐秀路,2
14,往封浜,乐秀路,封浜,3
14,往桂桥路,封浜,乐秀路,2
14,往桂桥路,乐秀路,临洮路,3
14,往桂桥路,临洮路,嘉怡路,2
14,往桂桥路,嘉怡路,定边路,2
14,往桂桥路,定边路,真新新村,2
14,往桂桥路,真新新村,真光路,3
14,往桂桥路,真光路,铜川路,2
14,往桂桥路,铜川路,真如,2
14,往桂桥路,真如,中宁路,2
14,往桂桥路,中宁路,曹杨路,2
14,往桂桥路,曹杨路,武宁路,3
14,往桂桥路,武宁路,武定路,1
14,往桂桥路,武定路,静安寺,3
14,往桂桥路,静安寺,一大会址·黄陂南路,4
14,往桂桥路,一大会址·黄陂南路,大世界,2
14,往桂桥路,大世界,豫园,2
14,往桂桥路,豫园,陆家嘴,3
14,往桂桥路,陆家嘴,浦东南路,2
14,往桂桥路,浦东南路,浦东大道,2
14,往桂桥路,浦东大道,源深路,2
14,往桂桥路,源深路,昌邑路,2
14,往桂桥路,昌邑路,歇浦路,2
14,往桂桥路,歇浦路,云山路,4
14,往桂桥路,云山路,蓝天路,2
14,往桂桥路,蓝天路,黄杨路,3
14,往桂桥路,黄杨路,云顺路,2
14,往桂桥路,云顺路,浦东足球场,2
14,往桂桥路,浦东足球场,金粤路,2
14,往桂桥路,金粤路,桂桥路,2
