line,direction,from_station,to_station,interval_min
11,往花桥,迪士尼,康新公路,4
11,往花桥,康新公路,秀沿路,3
11,往花桥,罗山路,御桥,3
11,往花桥,御桥,康恒路,2
11,往花桥,康恒路,浦三路,2
11,往花桥,浦三路,三林东,3
11,往花桥,三林东,三林,2
11,往花桥,三林,东方体育中心,5
11,往花桥,东方体育中心,龙耀路,3
11,往花桥,龙耀路,云锦路,2
11,往花桥,云锦路,龙华,2
11,往花桥,龙华,上海游泳馆,3
11,往花桥,上海游泳馆,徐家汇,3
11,往花桥,徐家汇,交通大学,2
11,往花桥,交通大学,江苏路,4
11,往花桥,江苏路,隆德路,3
11,往花桥,隆德路,曹杨路,2
11,往花桥,曹杨路,枫桥路,2
11,往花桥,枫桥路,真如,2
11,往花桥,真如,上海西站,2
11,往花桥,上海西站,李子园,3
11,往花桥,李子园,祁连山路,2
11,往花桥,祁连山路,武威路,2
11,往花桥,武威路,桃浦新村,3
11,往花桥,桃浦新村,南翔,4
11,往花桥,南翔,陈翔公路,3
11,往花桥,陈翔公路,马陆,4
11,往花桥,马陆,嘉定新城,3
11,往花桥,白银路,嘉定西,4
11,往花桥,嘉定西,嘉定北,2
11,往花桥,上海赛车场,昌吉东路,5
11,往花桥,昌吉东路,上海汽车城,3
11,往花桥,上海汽车城,安亭,3
11,往花桥,安亭,兆丰路,3
11,往花桥,兆丰路,光明路,4
11,往花桥,光明路,花桥,2
11,花桥往迪士尼,花桥,光明路,2
11,花桥往迪士尼,光明路,兆丰路,4
11,花桥往迪士尼,安亭,上海汽车城,2
11,花桥往迪士尼,上海汽车城,昌吉东路,3
11,花桥往迪士尼,昌吉东路,上海赛车场,5
11,花桥往迪士尼,嘉定北,嘉定西,2
11,花桥往迪士尼,嘉定西,白银路,4
11,花桥往迪士尼,白银路,嘉定新城,3
11,花桥往迪士尼,嘉定新城,马陆,3
11,花桥往迪士尼,马陆,陈翔公路,5
11,花桥往迪士尼,南翔,桃浦新村,3
11,花桥往迪士尼,桃浦新村,武威路,3
11,花桥往迪士尼,武威路,祁连山路,2
11,花桥往迪士尼,祁连山路,李子园,3
11,花桥往迪士尼,李子园,上海西站,2
11,花桥往迪士尼,上海西站,真如,3
11,花桥往迪士尼,真如,枫桥路,2
11,花桥往迪士尼,枫桥路,曹杨路,2
11,花桥往迪士尼,曹杨路,隆德路,2
11,花桥往迪士尼,隆德路,江苏路,3
11,花桥往迪士尼,江苏路,交通大学,3
11,花桥往迪士尼,交通大学,徐家汇,2
11,花桥往迪士尼,徐家汇,上海游泳馆,4
11,花桥往迪士尼,上海游泳馆,龙华,2
11,花桥往迪士尼,龙华,云锦路,2
11,花桥往迪士尼,云锦路,龙耀路,2
11,花桥往迪士尼,龙耀路,东方体育中心,3
11,花桥往迪士尼,东方体育中心,三林,5
11,花桥往迪士尼,三林,三林东,2
11,花桥往迪士尼,三林东,浦三路,2
11,花桥往迪士尼,浦三路,康恒路,2
11,花桥往迪士尼,康恒路,御桥,3
11,花桥往迪士尼,御桥,罗山路,3
11,花桥往迪士尼,罗山路,秀沿路,3
11,花桥往迪士尼,秀沿路,康新公路,3
11,花桥往迪士尼,康新公路,迪士尼,4
