line,direction,from_station,to_station,interval_min
1,往莘庄,富锦路,友谊西路,2
1,往莘庄,友谊西路,宝安公路,2
1,往莘庄,宝安公路,共富新村,3
1,往莘庄,共富新村,呼兰路,3
1,往莘庄,呼兰路,通河新村,2
1,往莘庄,通河新村,共康路,3
1,往莘庄,共康路,彭浦新村,2
1,往莘庄,彭浦新村,汶水路,3
1,往莘庄,汶水路,上海马戏城,3
1,往莘庄,上海马戏城,延长路,2
1,往莘庄,延长路,中山北路,2
1,往莘庄,上海火车站,汉中路,1
1,往莘庄,汉中路,新闸路,2
1,往莘庄,新闸路,人民广场,2
1,往莘庄,人民广场,一大会址·黄陂南路,3
1,往莘庄,一大会址·黄陂南路,陕西南路,2
1,往莘庄,陕西南路,常熟路,2
1,往莘庄,常熟路,衡山路,2
1,往莘庄,衡山路,徐家汇,2
1,往莘庄,徐家汇,上海体育馆,3
1,往莘庄,上海体育馆,漕宝路,2
1,往莘庄,漕宝路,上海南站,3
1,往莘庄,上海南站,锦江乐园,3
1,往莘庄,锦江乐园,莲花路,3
1,往莘庄,莲花路,外环路,2
1,往莘庄,外环路,莘庄,2
1,往富锦路,莘庄,外环路,2
1,往富锦路,外环路,莲花路,2
1,往富锦路,莲花路,锦江乐园,3
1,往富锦路,上海南站,漕宝路,2
1,往富锦路,漕宝路,上海体育馆,3
1,往富锦路,上海体育馆,徐家汇,2
1,往富锦路,徐家汇,衡山路,2
1,往富锦路,衡山路,常熟路,2
1,往富锦路,常熟路,陕西南路,2
1,往富锦路,陕西南路,一大会址·黄陂南路,3
1,往富锦路,一大会址·黄陂南路,人民广场,3
1,往富锦路,人民广场,新闸路,1
1,往富锦路,新闸路,汉中路,2
1,往富锦路,汉中路,上海火车站,3
1,往富锦路,上海火车站,中山北路,2
1,往富锦路,中山北路,延长路,3
1,往富锦路,延长路,上海马戏城,2
1,往富锦路,上海马戏城,汶水路,2
1,往富锦路,汶水路,彭浦新村,3
1,往富锦路,彭浦新村,共康路,3
1,往富锦路,共康路,通河新村,2
1,往富锦路,通河新村,呼兰路,3
1,往富锦路,呼兰路,共富新村,2
1,往富锦路,共富新村,宝安公路,3
1,往富锦路,宝安公路,友谊西路,2
1,往富锦路,友谊西路,富锦路,2
