line,station_id,station_name
11,station1114,花桥
11,station1115,光明路
11,station1116,兆丰路
11,station1117,安亭
11,station1118,上海汽车城
11,station1119,昌吉东路
11,station1120,上海赛车场
11,station1131,嘉定北
11,station1132,嘉定西
11,station1133,白银路
11,station1134,嘉定新城
11,station1135,马陆
11,station1136,陈翔公路
11,station1137,南翔
11,station1138,桃浦新村
11,station1139,武威路
11,station1140,祁连山路
11,station1141,李子园
11,station1142,上海西站
11,station1143,真如
11,station1144,枫桥路
11,station1145,曹杨路
11,station1146,隆德路
11,station1147,江苏路
11,station1148,交通大学
11,station1149,徐家汇
11,station1150,上海游泳馆
11,station1151,龙华
11,station1152,云锦路
11,station1153,龙耀路
11,station1154,东方体育中心
11,station1155,三林
11,station1156,三林东
11,station1157,浦三路
11,station1158,康恒路
11,station1159,御桥
11,station1160,罗山路
11,station1161,秀沿路
11,station1162,康新公路
11,station1163,迪士尼
