line,direction,from_station,to_station,interval_min
8,往市光路,沈杜公路,联航路,2
8,往市光路,联航路,江月路,2
8,往市光路,江月路,浦江镇,2
8,往市光路,浦江镇,芦恒路,4
8,往市光路,芦恒路,凌兆新村,3
8,往市光路,凌兆新村,东方体育中心,4
8,往市光路,东方体育中心,杨思,2
8,往市光路,杨思,成山路,2
8,往市光路,成山路,耀华路,2
8,往市光路,耀华路,中华艺术宫,2
8,往市光路,中华艺术宫,西藏南路,3
8,往市光路,西藏南路,陆家浜路,2
8,往市光路,陆家浜路,老西门,2
8,往市光路,老西门,大世界,2
8,往市光路,大世界,人民广场,2
8,往市光路,人民广场,曲阜路,2
8,往市光路,曲阜路,中兴路,2
8,往市光路,中兴路,西藏北路,3
8,往市光路,西藏北路,虹口足球场,2
8,往市光路,虹口足球场,曲阳路,3
8,往市光路,曲阳路,四平路,2
8,往市光路,四平路,鞍山新村,2
8,往市光路,鞍山新村,江浦路,2
8,往市光路,江浦路,黄兴路,2
8,往市光路,黄兴路,延吉中路,2
8,往市光路,延吉中路,黄兴公园,2
8,往市光路,黄兴公园,翔殷路,2
8,往市光路,翔殷路,嫩江路,2
8,往市光路,嫩江路,市光路,2
8,往沈杜公路,市光路,嫩江路,1
8,往沈杜公路,嫩江路,翔殷路,2
8,往沈杜公路,翔殷路,黄兴公园,2
8,往沈杜公路,黄兴公园,延吉中路,2
8,往沈杜公路,延吉中路,黄兴路,3
8,往沈杜公路,黄兴路,江浦路,2
8,往沈杜公路,江浦路,鞍山新村,2
8,往沈杜公路,鞍山新村,四平路,2
8,往沈杜公路,四平路,曲阳路,2
8,往沈杜公路,曲阳路,虹口足球场,2
8,往沈杜公路,虹口足球场,西藏北路,3
8,往沈杜公路,西藏北路,中兴路,2
8,往沈杜公路,中兴路,曲阜路,2
8,往沈杜公路,曲阜路,人民广场,3
8,往沈杜公路,人民广场,大世界,1
8,往沈杜公路,大世界,老西门,2
8,往沈杜公路,老西门,陆家浜路,2
8,往沈杜公路,陆家浜路,西藏南路,3
8,往沈杜公路,西藏南路,中华艺术宫,2
8,往沈杜公路,中华艺术宫,耀华路,2
8,往沈杜公路,耀华路,成山路,2
8,往沈杜公路,成山路,杨思,2
8,往沈杜公路,杨思,东方体育中心,3
8,往沈杜公路,东方体育中心,凌兆新村,3
8,往沈杜公路,凌兆新村,芦恒路,3
8,往沈杜公路,芦恒路,浦江镇,4
8,往沈杜公路,浦江镇,江月路,2
8,往沈杜公路,江月路,联航路,2
8,往沈杜公路,联航路,沈杜公路,2
