line,direction,from_station,to_station,interval_min
18,往航头方向,康文路,呼兰路,3
18,往航头方向,呼兰路,爱辉路,2
18,往航头方向,爱辉路,长江西路,4
18,往航头方向,长江西路,通南路,2
18,往航头方向,长江南路,殷高路,2
18,往航头方向,殷高路,上海财经大学,2
18,往航头方向,上海财经大学,复旦大学,3
18,往航头方向,复旦大学,国权路,2
18,往航头方向,国权路,抚顺路,2
18,往航头方向,抚顺路,江浦路,2
18,往航头方向,江浦路,江浦公园,2
18,往航头方向,江浦公园,平凉路,2
18,往航头方向,平凉路,丹阳路,2
18,往航头方向,丹阳路,昌邑路,2
18,往航头方向,昌邑路,民生路,2
18,往航头方向,民生路,杨高中路,2
18,往航头方向,杨高中路,迎春路,2
18,往航头方向,龙阳路,芳芯路,2
18,往航头方向,芳芯路,北中路,2
18,往航头方向,北中路,莲溪路,2
18,往航头方向,莲溪路,御桥,2
18,往航头方向,御桥,康桥,4
18,往航头方向,康桥,周浦,3
18,往航头方向,周浦,繁荣路,2
18,往航头方向,繁荣路,沈梅路,3
18,往航头方向,沈梅路,鹤涛路,3
18,往航头方向,鹤涛路,下沙,2
18,往航头方向,下沙,航头,2
18,往康文路,航头,下沙,2
18,往康文路,下沙,鹤涛路,3
18,往康文路,鹤涛路,沈梅路,3
18,往康文路,沈梅路,繁荣路,2
18,往康文路,繁荣路,周浦,2
18,往康文路,周浦,康桥,3
18,往康文路,康桥,御桥,4
18,往康文路,御桥,莲溪路,2
18,往康文路,莲溪路,北中路,3
18,往康文路,北中路,芳芯路,2
18,往康文路,芳芯路,龙阳路,2
18,往康文路,龙阳路,迎春路,3
18,往康文路,迎春路,杨高中路,2
18,往康文路,杨高中路,民生路,1
18,往康文路,民生路,昌邑路,3
18,往康文路,昌邑路,丹阳路,2
18,往康文路,丹阳路,平凉路,2
18,往康文路,平凉路,江浦公园,2
18,往康文路,江浦公园,江浦路,2
18,往康文路,江浦路,抚顺路,2
18,往康文路,抚顺路,国权路,2
18,往康文路,国权路,复旦大学,2
18,往康文路,复旦大学,上海财经大学,2
18,往康文路,上海财经大学,殷高路,3
18,往康文路,殷高路,长江南路,2
18,往康文路,长江南路,通南路,2
18,往康文路,通南路,长江西路,2
18,往康文路,长江西路,爱辉路,5
18,往康文路,爱辉路,呼兰路,2
18,往康文路,呼兰路,康文路,3
