line,direction,from_station,to_station,interval_min
10,基隆路始发 往航中路,基隆路,港城路,2
10,基隆路始发 往航中路,港城路,高桥,2
10,基隆路始发 往航中路,高桥,高桥西,3
10,基隆路始发 往航中路,高桥西,双江路,2
10,基隆路始发 往航中路,双江路,国帆路,4
10,基隆路始发 往航中路,新江湾城,殷高东路 ,1
10,基隆路始发 往航中路,殷高东路 ,三门路,2
10,基隆路始发 往航中路,三门路,江湾体育场,2
10,基隆路始发 往航中路,江湾体育场,五角场,2
10,基隆路始发 往航中路,五角场,国权路,2
10,基隆路始发 往航中路,国权路,同济大学,2
10,基隆路始发 往航中路,同济大学,四平路,2
10,基隆路始发 往航中路,四平路,邮电新村,2
10,基隆路始发 往航中路,邮电新村,海伦路,2
10,基隆路始发 往航中路,海伦路,四川北路,2
10,基隆路始发 往航中路,四川北路,天潼路,2
10,基隆路始发 往航中路,天潼路,南京东路,3
10,基隆路始发 往航中路,南京东路,豫园,2
10,基隆路始发 往航中路,豫园,老西门,2
10,基隆路始发 往航中路,老西门,一大会址·新天地,2
10,基隆路始发 往航中路,一大会址·新天地,陕西南路,3
10,基隆路始发 往航中路,陕西南路,上海图书馆,2
10,基隆路始发 往航中路,上海图书馆,交通大学,2
10,基隆路始发 往航中路,交通大学,虹桥路,3
10,基隆路始发 往航中路,虹桥路,宋园路,2
10,基隆路始发 往航中路,宋园路,伊犁路,1
10,基隆路始发 往航中路,伊犁路,水城路,3
10,基隆路始发 往航中路,水城路,龙溪路,2
10,基隆路始发 往航中路,上海动物园,虹桥1号航站楼,3
10,基隆路始发 往航中路,虹桥1号航站楼,虹桥2号航站楼,3
10,基隆路始发 往航中路,虹桥2号航站楼,虹桥火车站,1
10,基隆路始发 往航中路,龙柏新村,紫藤路,2
10,基隆路始发 往航中路,紫藤路,航中路,3
10,航中路始发 往基隆路,航中路,紫藤路,2
10,航中路始发 往基隆路,紫藤路,龙柏新村,2
10,航中路始发 往基隆路,虹桥火车站,虹桥2号航站楼,1
10,航中路始发 往基隆路,虹桥2号航站楼,虹桥1号航站楼,3
10,航中路始发 往基隆路,虹桥1号航站楼,上海动物园,3
10,航中路始发 往基隆路,上海动物园,龙溪路,2
10,航中路始发 往基隆路,龙溪路,水城路,2
10,航中路始发 往基隆路,水城路,伊犁路,2
10,航中路始发 往基隆路,伊犁路,宋园路,2
10,航中路始发 往基隆路,宋园路,虹桥路,2
10,航中路始发 往基隆路,虹桥路,交通大学,3
10,航中路始发 往基隆路,交通大学,上海图书馆,2
10,航中路始发 往基隆路,上海图书馆,陕西南路,2
10,航中路始发 往基隆路,陕西南路,一大会址·新天地,3
10,航中路始发 往基隆路,一大会址·新天地,老西门,2
10,航中路始发 往基隆路,老西门,豫园,3
10,航中路始发 往基隆路,豫园,南京东路,2
10,航中路始发 往基隆路,南京东路,天潼路,2
10,航中路始发 往基隆路,天潼路,四川北路,2
10,航中路始发 往基隆路,四川北路,海伦路,2
10,航中路始发 往基隆路,海伦路,邮电新村,2
10,航中路始发 往基隆路,邮电新村,四平路,2
10,航中路始发 往基隆路,四平路,同济大学,2
10,航中路始发 往基隆路,同济大学,国权路,2
10,航中路始发 往基隆路,国权路,五角场,2
10,航中路始发 往基隆路,五角场,江湾体育场,1
10,航中路始发 往基隆路,江湾体育场,三门路,2
10,航中路始发 往基隆路,三门路,殷高东路 ,2
10,航中路始发 往基隆路,殷高东路 ,新江湾城,2
10,航中路始发 往基隆路,新江湾城,国帆路,3
10,航中路始发 往基隆路,国帆路,双江路,4
10,航中路始发 往基隆路,双江路,高桥西,2
10,航中路始发 往基隆路,高桥西,高桥,2
10,航中路始发 往基隆路,高桥,港城路,2
10,航中路始发 往基隆路,港城路,基隆路,2
