line,station_id,station_name
7,station0721,美兰湖
7,station0722,罗南新村
7,station0723,潘广路
7,station0724,刘行
7,station0725,顾村公园
7,station0726,祁华路
7,station0727,上海大学
7,station0728,南陈路
7,station0729,上大路
7,station0730,场中路
7,station0731,大场镇
7,station0732,行知路
7,station0733,大华三路
7,station0734,新村路
7,station0735,岚皋路
7,station0736,镇坪路
7,station0737,长寿路
7,station0738,昌平路
7,station0739,静安寺
7,station0740,常熟路
7,station0741,肇嘉浜路
7,station0742,东安路
7,station0743,龙华中路
7,station0744,后滩
7,station0745,长清路
7,station0746,耀华路
7,station0747,云台路
7,station0748,高科西路
7,station0749,杨高南路
7,station0750,锦绣路
7,station0751,芳华路
7,station0752,龙阳路
7,station0753,花木路
