起点站ID,终点站ID,线路,运行方向,通行时间
1827,1826,18号线,,2
0101,0501,换乘,,5
0501,0101,换乘,,5
0105,0301,换乘,,5
0105,1512,换乘,,5
0301,0105,换乘,,5
0301,1512,换乘,,5
1512,0105,换乘,,5
1512,0301,换乘,,5
0106,1208,换乘,,5
1208,0106,换乘,,5
0107,0401,换乘,,5
0401,0107,换乘,,5
0108,0917,换乘,,5
0108,1126,换乘,,5
0917,0108,换乘,,5
0917,1126,换乘,,5
1126,0108,换乘,,5
1126,0917,换乘,,5
0110,0720,换乘,,5
0720,0110,换乘,,5
0111,1015,换乘,,5
0111,1214,换乘,,5
1015,0111,换乘,,5
1015,1214,换乘,,5
1214,0111,换乘,,5
1214,1015,换乘,,5
0112,1415,换乘,,5
1415,0112,换乘,,5
0113,0213,换乘,,5
0113,0816,换乘,,5
0213,0113,换乘,,5
0213,0816,换乘,,5
0816,0113,换乘,,5
0816,0213,换乘,,5
0115,1216,换乘,,5
0115,1312,换乘,,5
1216,0115,换乘,,5
1216,1312,换乘,,5
1312,0115,换乘,,5
1312,1216,换乘,,5
0116,0313,换乘,,5
0116,0410,换乘,,5
0313,0116,换乘,,5
0313,0410,换乘,,5
0410,0116,换乘,,5
0410,0313,换乘,,5
0124,1830,换乘,,5
1830,0124,换乘,,5
0202,1702,换乘,,5
1702,0202,换乘,,5
0203,1004,换乘,,5
0203,1701,换乘,,5
1004,0203,换乘,,5
1004,1701,换乘,,5
1701,0203,换乘,,5
1701,1004,换乘,,5
0204,1005,换乘,,5
0204,5101,换乘,,5
1005,0204,换乘,,5
1005,5101,换乘,,5
5101,0204,换乘,,5
5101,1005,换乘,,5
0208,1518,换乘,,5
1518,0208,换乘,,5
0209,0308,换乘,,5
0209,0405,换乘,,5
0308,0209,换乘,,5
0308,0405,换乘,,5
0405,0209,换乘,,5
0405,0308,换乘,,5
0210,1124,换乘,,5
1124,0210,换乘,,5
0211,0719,换乘,,5
0211,1414,换乘,,5
0719,0211,换乘,,5
0719,1414,换乘,,5
1414,0211,换乘,,5
1414,0719,换乘,,5
0212,1215,换乘,,5
0212,1314,换乘,,5
1215,0212,换乘,,5
1215,1314,换乘,,5
1314,0212,换乘,,5
1314,1215,换乘,,5
0214,1019,换乘,,5
1019,0214,换乘,,5
0215,1418,换乘,,5
1418,0215,换乘,,5
0216,1419,换乘,,5
1419,0216,换乘,,5
0217,0417,换乘,,5
0217,0612,换乘,,5
0217,0925,换乘,,5
0417,0217,换乘,,5
0417,0612,换乘,,5
0417,0925,换乘,,5
0612,0217,换乘,,5
0612,0417,换乘,,5
0612,0925,换乘,,5
0925,0217,换乘,,5
0925,0417,换乘,,5
0925,0612,换乘,,5
0220,0732,换乘,,5
0220,1601,换乘,,5
0220,1812,换乘,,5
0732,0220,换乘,,5
0732,1601,换乘,,5
0732,1812,换乘,,5
1601,0220,换乘,,5
1601,0732,换乘,,5
1601,1812,换乘,,5
1812,0220,换乘,,5
1812,0732,换乘,,5
1812,1601,换乘,,5
0231,5107,换乘,,5
5107,0231,换乘,,5
0303,1209,换乘,,5
1209,0303,换乘,,5
0305,0402,换乘,,5
0305,0916,换乘,,5
0402,0305,换乘,,5
0402,0916,换乘,,5
0916,0305,换乘,,5
0916,0402,换乘,,5
0306,0403,换乘,,5
0306,1012,换乘,,5
0403,0306,换乘,,5
0403,1012,换乘,,5
1012,0306,换乘,,5
1012,0403,换乘,,5
0307,0404,换乘,,5
0404,0307,换乘,,5
0309,0406,换乘,,5
0309,1307,换乘,,5
0406,0309,换乘,,5
0406,1307,换乘,,5
1307,0309,换乘,,5
1307,0406,换乘,,5
0310,0407,换乘,,5
0310,1122,换乘,,5
0310,1411,换乘,,5
0407,0310,换乘,,5
0407,1122,换乘,,5
0407,1411,换乘,,5
1122,0310,换乘,,5
1122,0407,换乘,,5
1122,1411,换乘,,5
1411,0310,换乘,,5
1411,0407,换乘,,5
1411,1122,换乘,,5
0311,0408,换乘,,5
0311,0716,换乘,,5
0408,0311,换乘,,5
0408,0716,换乘,,5
0716,0311,换乘,,5
0716,0408,换乘,,5
0312,0409,换乘,,5
0409,0312,换乘,,5
0314,0411,换乘,,5
0411,0314,换乘,,5
0316,0820,换乘,,5
0820,0316,换乘,,5
0321,1826,换乘,,5
1826,0321,换乘,,5
0412,1022,换乘,,5
1022,0412,换乘,,5
0414,1221,换乘,,5
1221,0414,换乘,,5
0416,1420,换乘,,5
1420,0416,换乘,,5
0419,0610,换乘,,5
0610,0419,换乘,,5
0422,0812,换乘,,5
0812,0422,换乘,,5
0424,1212,换乘,,5
1212,0424,换乘,,5
0425,0722,换乘,,5
0722,0425,换乘,,5
0601,0807,换乘,,5
0601,1131,换乘,,5
0807,0601,换乘,,5
0807,1131,换乘,,5
1131,0601,换乘,,5
1131,0807,换乘,,5
0606,1322,换乘,,5
1322,0606,换乘,,5
0607,0728,换乘,,5
0728,0607,换乘,,5
0614,1815,换乘,,5
1815,0614,换乘,,5
0617,1424,换乘,,5
1424,0617,换乘,,5
0621,1228,换乘,,5
1228,0621,换乘,,5
0628,1036,换乘,,5
1036,0628,换乘,,5
0705,1530,换乘,,5
1530,0705,换乘,,5
0717,1310,换乘,,5
1310,0717,换乘,,5
0721,0918,换乘,,5
0918,0721,换乘,,5
0723,1211,换乘,,5
1211,0723,换乘,,5
0725,1320,换乘,,5
1320,0725,换乘,,5
0726,0810,换乘,,5
0810,0726,换乘,,5
0801,4101,换乘,,5
4101,0801,换乘,,5
0809,1321,换乘,,5
1321,0809,换乘,,5
0813,0922,换乘,,5
0922,0813,换乘,,5
0814,1017,换乘,,5
1017,0814,换乘,,5
0815,1416,换乘,,5
1416,0815,换乘,,5
0817,1217,换乘,,5
1217,0817,换乘,,5
0822,1024,换乘,,5
1024,0822,换乘,,5
0824,1820,换乘,,5
1820,0824,换乘,,5
0910,5102,换乘,,5
5102,0910,换乘,,5
0915,1514,换乘,,5
1514,0915,换乘,,5
0919,1213,换乘,,5
1213,0919,换乘,,5
0921,1317,换乘,,5
1317,0921,换乘,,5
0926,1814,换乘,,5
1814,0926,换乘,,5
0928,1425,换乘,,5
1425,0928,换乘,,5
0932,1232,换乘,,5
1232,0932,换乘,,5
1013,1125,换乘,,5
1125,1013,换乘,,5
1016,1316,换乘,,5
1316,1016,换乘,,5
1018,1417,换乘,,5
1417,1018,换乘,,5
1020,1218,换乘,,5
1218,1020,换乘,,5
1026,1822,换乘,,5
1822,1026,换乘,,5
1119,1523,换乘,,5
1523,1119,换乘,,5
1120,1409,换乘,,5
1409,1120,换乘,,5
1123,1308,换乘,,5
1308,1123,换乘,,5
1128,1210,换乘,,5
1210,1128,换乘,,5
1136,1808,换乘,,5
1808,1136,换乘,,5
1137,1603,换乘,,5
1603,1137,换乘,,5
1207,1513,换乘,,5
1513,1207,换乘,,5
1222,1819,换乘,,5
1819,1222,换乘,,5
1306,1520,换乘,,5
1520,1306,换乘,,5
1309,1412,换乘,,5
1412,1309,换乘,,5
1327,1809,换乘,,5
1809,1327,换乘,,5
1328,1602,换乘,,5
1602,1328,换乘,,5
1408,1522,换乘,,5
1522,1408,换乘,,5
1422,1816,换乘,,5
1816,1422,换乘,,5
1508,5103,换乘,,5
5103,1508,换乘,,5
