line,direction,from_station,to_station,interval_min
17,往西岑,虹桥火车站,国家会展中心,3
17,往西岑,国家会展中心,蟠龙路,2
17,往西岑,蟠龙路,徐盈路,3
17,往西岑,徐盈路,徐泾北城,3
17,往西岑,徐泾北城,嘉松中路,3
17,往西岑,嘉松中路,赵巷,3
17,往西岑,赵巷,汇金路,4
17,往西岑,汇金路,青浦新城,3
17,往西岑,青浦新城,漕盈路,3
17,往西岑,漕盈路,淀山湖大道,4
17,往西岑,淀山湖大道,朱家角,6
17,往西岑,朱家角,东方绿舟,3
17,往西岑,东方绿舟,西岑,5
17,往虹桥火车站,西岑,东方绿舟,5
17,往虹桥火车站,东方绿舟,朱家角,3
17,往虹桥火车站,朱家角,淀山湖大道,6
17,往虹桥火车站,淀山湖大道,漕盈路,4
17,往虹桥火车站,漕盈路,青浦新城,3
17,往虹桥火车站,青浦新城,汇金路,3
17,往虹桥火车站,汇金路,赵巷,5
17,往虹桥火车站,赵巷,嘉松中路,3
17,往虹桥火车站,嘉松中路,徐泾北城,3
17,往虹桥火车站,徐泾北城,徐盈路,3
17,往虹桥火车站,徐盈路,蟠龙路,3
17,往虹桥火车站,蟠龙路,国家会展中心,2
17,往虹桥火车站,国家会展中心,虹桥火车站,3
