line,direction,from_station,to_station,interval_min
3,往上海南站,江杨北路,铁力路,3
3,往上海南站,铁力路,友谊路,3
3,往上海南站,友谊路,宝杨路,2
3,往上海南站,宝杨路,水产路,3
3,往上海南站,水产路,淞滨路,2
3,往上海南站,淞滨路,张华浜,2
3,往上海南站,张华浜,淞发路,3
3,往上海南站,淞发路,长江南路,3
3,往上海南站,长江南路,殷高西路,3
3,往上海南站,殷高西路,江湾镇,3
3,往上海南站,江湾镇,大柏树,3
3,往上海南站,大柏树,赤峰路,2
3,往上海南站,赤峰路,虹口足球场,2
3,往上海南站,虹口足球场,东宝兴路,3
3,往上海南站,东宝兴路,宝山路,2
3,往上海南站,宝山路,上海火车站,3
3,往上海南站,上海火车站,中潭路,3
3,往上海南站,中潭路,镇坪路,3
3,往上海南站,镇坪路,曹杨路,3
3,往上海南站,曹杨路,金沙江路,2
3,往上海南站,金沙江路,中山公园,2
3,往上海南站,中山公园,延安西路,3
3,往上海南站,延安西路,虹桥路,2
3,往上海南站,虹桥路,宜山路,3
3,往上海南站,宜山路,漕溪路,2
3,往上海南站,漕溪路,龙漕路,3
3,往上海南站,龙漕路,石龙路,2
3,往上海南站,石龙路,上海南站,2
3,往江杨北路,上海南站,石龙路,2
3,往江杨北路,石龙路,龙漕路,3
3,往江杨北路,龙漕路,漕溪路,2
3,往江杨北路,漕溪路,宜山路,3
3,往江杨北路,宜山路,虹桥路,2
3,往江杨北路,虹桥路,延安西路,3
3,往江杨北路,延安西路,中山公园,2
3,往江杨北路,中山公园,金沙江路,3
3,往江杨北路,金沙江路,曹杨路,2
3,往江杨北路,曹杨路,镇坪路,3
3,往江杨北路,镇坪路,中潭路,2
3,往江杨北路,中潭路,上海火车站,3
3,往江杨北路,上海火车站,宝山路,4
3,往江杨北路,宝山路,东宝兴路,2
3,往江杨北路,东宝兴路,虹口足球场,2
3,往江杨北路,虹口足球场,赤峰路,3
3,往江杨北路,赤峰路,大柏树,2
3,往江杨北路,大柏树,江湾镇,3
3,往江杨北路,江湾镇,殷高西路,2
3,往江杨北路,殷高西路,长江南路,3
3,往江杨北路,长江南路,淞发路,3
3,往江杨北路,淞发路,张华浜,2
3,往江杨北路,张华浜,淞滨路,3
3,往江杨北路,淞滨路,水产路,2
3,往江杨北路,水产路,宝杨路,3
3,往江杨北路,宝杨路,友谊路,2
3,往江杨北路,友谊路,铁力路,3
3,往江杨北路,铁力路,江杨北路,3
