line,station_id,station_name
6,station0621,东方体育中心
6,station0622,灵岩南路
6,station0623,上南路
6,station0624,华夏西路
6,station0625,高青路
6,station0626,东明路
6,station0627,高科西路
6,station0628,临沂新村 
6,station0629,上海儿童医学中心
6,station0630,蓝村路
6,station0631,浦电路 
6,station0632,世纪大道
6,station0633,源深体育中心
6,station0634,民生路
6,station0635,北洋泾路
6,station0636,德平路
6,station0637,云山路
6,station0638,金桥路
6,station0639,博兴路
6,station0640,五莲路
6,station0641,巨峰路
6,station0642,东靖路
6,station0643,五洲大道
6,station0644,洲海路
6,station0645,外高桥保税区南
6,station0646,航津路
6,station0647,外高桥保税区北
6,station0648,港城路
