line,direction,from_station,to_station,interval_min
2,往蟠祥路·国家会计学院,浦东1号2号航站楼,海天三路,3
2,往蟠祥路·国家会计学院,海天三路,远东大道,7
2,往蟠祥路·国家会计学院,远东大道,凌空路,5
2,往蟠祥路·国家会计学院,凌空路,川沙,3
2,往蟠祥路·国家会计学院,川沙,华夏东路,5
2,往蟠祥路·国家会计学院,华夏东路,创新中路,3
2,往蟠祥路·国家会计学院,创新中路,唐镇,3
2,往蟠祥路·国家会计学院,广兰路,金科路,3
2,往蟠祥路·国家会计学院,金科路,张江高科,2
2,往蟠祥路·国家会计学院,龙阳路,世纪公园,1
2,往蟠祥路·国家会计学院,世纪公园,上海科技馆,3
2,往蟠祥路·国家会计学院,上海科技馆,世纪大道,3
2,往蟠祥路·国家会计学院,世纪大道,浦东南路,2
2,往蟠祥路·国家会计学院,浦东南路,陆家嘴,2
2,往蟠祥路·国家会计学院,陆家嘴,南京东路,3
2,往蟠祥路·国家会计学院,南京东路,人民广场,3
2,往蟠祥路·国家会计学院,人民广场,南京西路,2
2,往蟠祥路·国家会计学院,南京西路,静安寺,2
2,往蟠祥路·国家会计学院,静安寺,江苏路,3
2,往蟠祥路·国家会计学院,江苏路,中山公园,3
2,往蟠祥路·国家会计学院,中山公园,娄山关路,3
2,往蟠祥路·国家会计学院,娄山关路,威宁路,3
2,往蟠祥路·国家会计学院,威宁路,北新泾,2
2,往蟠祥路·国家会计学院,北新泾,淞虹路,3
2,往蟠祥路·国家会计学院,淞虹路,虹桥2号航站楼,7
2,往蟠祥路·国家会计学院,虹桥2号航站楼,虹桥火车站,2
2,往蟠祥路·国家会计学院,虹桥火车站,国家会展中心,3
2,往蟠祥路·国家会计学院,国家会展中心,蟠祥路·国家会计学院,2
2,往广兰路,蟠祥路·国家会计学院,国家会展中心,3
2,往广兰路,国家会展中心,虹桥火车站,3
2,往广兰路,虹桥火车站,虹桥2号航站楼,2
2,往广兰路,虹桥2号航站楼,淞虹路,7
2,往广兰路,淞虹路,北新泾,2
2,往广兰路,北新泾,威宁路,2
2,往广兰路,威宁路,娄山关路,3
2,往广兰路,娄山关路,中山公园,3
2,往广兰路,中山公园,江苏路,2
2,往广兰路,江苏路,静安寺,3
2,往广兰路,静安寺,南京西路,3
2,往广兰路,南京西路,人民广场,3
2,往广兰路,人民广场,南京东路,2
2,往广兰路,南京东路,陆家嘴,3
2,往广兰路,陆家嘴,浦东南路,2
2,往广兰路,浦东南路,世纪大道,3
2,往广兰路,世纪大道,上海科技馆,3
2,往广兰路,上海科技馆,世纪公园,2
2,往广兰路,世纪公园,龙阳路,2
2,往广兰路,龙阳路,张江高科,4
2,往广兰路,张江高科,金科路,3
2,往广兰路,广兰路,唐镇,4
2,往广兰路,唐镇,创新中路,4
2,往广兰路,创新中路,华夏东路,3
2,往广兰路,华夏东路,川沙,4
2,往广兰路,川沙,凌空路,4
2,往广兰路,凌空路,远东大道,5
2,往广兰路,远东大道,海天三路,7
2,往广兰路,海天三路,浦东1号2号航站楼,3
