line,direction,from_station,to_station,interval_min
13,往金运路,张江路,学林路 ,2
13,往金运路,学林路 ,中科路,3
13,往金运路,中科路,华夏中路,3
13,往金运路,华夏中路,莲溪路,3
13,往金运路,莲溪路,陈春路 ,2
13,往金运路,陈春路 ,北蔡,2
13,往金运路,北蔡,下南路,2
13,往金运路,下南路,华鹏路 ,3
13,往金运路,华鹏路 ,东明路,3
13,往金运路,东明路,成山路,2
13,往金运路,成山路,长清路,2
13,往金运路,长清路,世博大道,3
13,往金运路,世博大道,世博会博物馆,3
13,往金运路,世博会博物馆,马当路,2
13,往金运路,马当路,一大会址·新天地,2
13,往金运路,一大会址·新天地,淮海中路,3
13,往金运路,淮海中路,南京西路,2
13,往金运路,南京西路,自然博物馆,2
13,往金运路,自然博物馆,汉中路,2
13,往金运路,汉中路,江宁路,3
13,往金运路,长寿路,武宁路,2
13,往金运路,武宁路,隆德路,3
13,往金运路,隆德路,金沙江路,3
13,往金运路,金沙江路,大渡河路,3
13,往金运路,大渡河路,真北路,3
13,往金运路,真北路,祁连山南路,2
13,往金运路,祁连山南路,丰庄,3
13,往金运路,丰庄,金沙江西路,3
13,往金运路,金沙江西路,金运路,2
13,往华鹏路,金运路,金沙江西路,2
13,往华鹏路,金沙江西路,丰庄,4
13,往华鹏路,丰庄,祁连山南路,3
13,往华鹏路,祁连山南路,真北路,2
13,往华鹏路,真北路,大渡河路,3
13,往华鹏路,大渡河路,金沙江路,4
13,往华鹏路,金沙江路,隆德路,2
13,往华鹏路,隆德路,武宁路,3
13,往华鹏路,武宁路,长寿路,2
13,往华鹏路,长寿路,江宁路,2
13,往华鹏路,江宁路,汉中路,3
13,往华鹏路,汉中路,自然博物馆,1
13,往华鹏路,自然博物馆,南京西路,3
13,往华鹏路,南京西路,淮海中路,2
13,往华鹏路,淮海中路,一大会址·新天地,3
13,往华鹏路,一大会址·新天地,马当路,2
13,往华鹏路,马当路,世博会博物馆,2
13,往华鹏路,世博会博物馆,世博大道,3
13,往华鹏路,世博大道,长清路,3
13,往华鹏路,长清路,成山路,2
13,往华鹏路,成山路,东明路,2
13,往华鹏路,东明路,华鹏路 ,3
13,往华鹏路,华鹏路 ,下南路,2
13,往华鹏路,下南路,北蔡,3
13,往华鹏路,北蔡,陈春路 ,2
13,往华鹏路,陈春路 ,莲溪路,2
13,往华鹏路,莲溪路,华夏中路,3
13,往华鹏路,华夏中路,中科路,3
13,往华鹏路,中科路,学林路 ,2
13,往华鹏路,学林路 ,张江路,2
