line,direction,from_station,to_station,interval_min
5,往莘庄,奉贤新城,金海湖,2
5,往莘庄,金海湖,望园路,2
5,往莘庄,望园路,环城东路,3
5,往莘庄,环城东路,奉浦大道,3
5,往莘庄,奉浦大道,萧塘,4
5,往莘庄,萧塘,西渡,3
5,往莘庄,西渡,江川路,6
5,往莘庄,闵行开发区,文井路,2
5,往莘庄,文井路,华宁路,2
5,往莘庄,华宁路,金平路,3
5,往莘庄,东川路,剑川路,3
5,往莘庄,剑川路,北桥,3
5,往莘庄,北桥,颛桥,3
5,往莘庄,颛桥,银都路,4
5,往莘庄,银都路,春申路,2
5,往莘庄,春申路,莘庄,2
5,往奉贤新城,莘庄,春申路,2
5,往奉贤新城,春申路,银都路,2
5,往奉贤新城,银都路,颛桥,4
5,往奉贤新城,颛桥,北桥,4
5,往奉贤新城,北桥,剑川路,3
5,往奉贤新城,剑川路,东川路,2
5,往奉贤新城,东川路,金平路,12
5,往奉贤新城,金平路,华宁路,2
5,往奉贤新城,华宁路,文井路,3
5,往奉贤新城,文井路,闵行开发区,2
5,往奉贤新城,江川路,西渡,6
5,往奉贤新城,西渡,萧塘,3
5,往奉贤新城,萧塘,奉浦大道,3
5,往奉贤新城,奉浦大道,环城东路,4
5,往奉贤新城,环城东路,望园路,2
5,往奉贤新城,望园路,金海湖,3
5,往奉贤新城,金海湖,奉贤新城,2
