line,station_id,station_name
12,station1220,七莘路
12,station1221,虹莘路
12,station1222,顾戴路
12,station1223,东兰路
12,station1224,虹梅路
12,station1225,虹漕路
12,station1226,桂林公园
12,station1227,漕宝路
12,station1228,龙漕路
12,station1229,龙华
12,station1230,龙华中路
12,station1231,大木桥路
12,station1232,嘉善路
12,station1233,陕西南路
12,station1234,南京西路
12,station1235,汉中路
12,station1236,曲阜路
12,station1237,天潼路
12,station1238,国际客运中心
12,station1239,提篮桥
12,station1240,大连路
12,station1241,江浦公园
12,station1242,宁国路
12,station1243,隆昌路
12,station1244,爱国路
12,station1245,复兴岛
12,station1246,东陆路
12,station1247,巨峰路
12,station1248,杨高北路
12,station1249,金京路
12,station1250,申江路
12,station1251,金海路
