line,direction,from_station,to_station,interval_min
7,往美兰湖,花木路,龙阳路,3
7,往美兰湖,龙阳路,芳华路,2
7,往美兰湖,芳华路,锦绣路,3
7,往美兰湖,锦绣路,杨高南路,2
7,往美兰湖,杨高南路,高科西路,3
7,往美兰湖,高科西路,云台路,2
7,往美兰湖,云台路,耀华路,2
7,往美兰湖,耀华路,长清路,2
7,往美兰湖,长清路,后滩,2
7,往美兰湖,后滩,龙华中路,3
7,往美兰湖,龙华中路,东安路,2
7,往美兰湖,东安路,肇嘉浜路,2
7,往美兰湖,肇嘉浜路,常熟路,3
7,往美兰湖,常熟路,静安寺,2
7,往美兰湖,静安寺,昌平路,3
7,往美兰湖,昌平路,长寿路,2
7,往美兰湖,长寿路,镇坪路,2
7,往美兰湖,镇坪路,岚皋路,3
7,往美兰湖,岚皋路,新村路,2
7,往美兰湖,新村路,大华三路,2
7,往美兰湖,大华三路,行知路,2
7,往美兰湖,行知路,大场镇,2
7,往美兰湖,大场镇,场中路,3
7,往美兰湖,场中路,上大路,2
7,往美兰湖,上大路,南陈路,2
7,往美兰湖,南陈路,上海大学,3
7,往美兰湖,上海大学,祁华路,3
7,往美兰湖,祁华路,顾村公园,3
7,往美兰湖,顾村公园,刘行,3
7,往美兰湖,刘行,潘广路,2
7,往美兰湖,潘广路,罗南新村,4
7,往美兰湖,罗南新村,美兰湖,2
7,往花木路,美兰湖,罗南新村,2
7,往花木路,罗南新村,潘广路,4
7,往花木路,潘广路,刘行,3
7,往花木路,刘行,顾村公园,3
7,往花木路,祁华路,上海大学,2
7,往花木路,上海大学,南陈路,2
7,往花木路,南陈路,上大路,2
7,往花木路,上大路,场中路,3
7,往花木路,场中路,大场镇,2
7,往花木路,大场镇,行知路,2
7,往花木路,行知路,大华三路,2
7,往花木路,大华三路,新村路,2
7,往花木路,新村路,岚皋路,2
7,往花木路,岚皋路,镇坪路,3
7,往花木路,镇坪路,长寿路,3
7,往花木路,长寿路,昌平路,2
7,往花木路,昌平路,静安寺,2
7,往花木路,静安寺,常熟路,2
7,往花木路,常熟路,肇嘉浜路,3
7,往花木路,肇嘉浜路,东安路,2
7,往花木路,东安路,龙华中路,2
7,往花木路,龙华中路,后滩,4
7,往花木路,后滩,长清路,2
7,往花木路,长清路,耀华路,2
7,往花木路,耀华路,云台路,2
7,往花木路,云台路,高科西路,2
7,往花木路,高科西路,杨高南路,3
7,往花木路,杨高南路,锦绣路,2
7,往花木路,锦绣路,芳华路,2
7,往花木路,芳华路,龙阳路,4
7,往花木路,龙阳路,花木路,2
