line,direction,from_station,to_station,interval_min
4,全程（外）,上海体育馆,上海体育场,2
4,全程（外）,上海体育场,东安路,2
4,全程（外）,东安路,大木桥路,2
4,全程（外）,大木桥路,鲁班路,2
4,全程（外）,鲁班路,西藏南路,3
4,全程（外）,西藏南路,南浦大桥,2
4,全程（外）,南浦大桥,塘桥,4
4,全程（外）,塘桥,蓝村路,2
4,全程（外）,蓝村路,向城路,2
4,全程（外）,向城路,世纪大道,2
4,全程（外）,世纪大道,浦东大道,3
4,全程（外）,浦东大道,杨树浦路,2
4,全程（外）,杨树浦路,大连路,2
4,全程（外）,大连路,临平路,3
4,全程（外）,临平路,海伦路,2
4,全程（外）,海伦路,宝山路,3
4,全程（外）,宝山路,上海火车站,3
4,全程（外）,上海火车站,中潭路,3
4,全程（外）,中潭路,镇坪路,3
4,全程（外）,镇坪路,曹杨路,3
4,全程（外）,曹杨路,金沙江路,2
4,全程（外）,金沙江路,中山公园,2
4,全程（外）,中山公园,延安西路,3
4,全程（外）,延安西路,虹桥路,2
4,全程（外）,虹桥路,宜山路,3
4,全程（内）,宜山路,虹桥路,3
4,全程（内）,虹桥路,延安西路,2
4,全程（内）,延安西路,中山公园,2
4,全程（内）,中山公园,金沙江路,3
4,全程（内）,金沙江路,曹杨路,2
4,全程（内）,曹杨路,镇坪路,3
4,全程（内）,镇坪路,中潭路,2
4,全程（内）,中潭路,上海火车站,3
4,全程（内）,上海火车站,宝山路,4
4,全程（内）,宝山路,海伦路,3
4,全程（内）,海伦路,临平路,2
4,全程（内）,临平路,大连路,2
4,全程（内）,大连路,杨树浦路,2
4,全程（内）,杨树浦路,浦东大道,2
4,全程（内）,浦东大道,世纪大道,3
4,全程（内）,世纪大道,向城路,2
4,全程（内）,向城路,蓝村路,2
4,全程（内）,蓝村路,塘桥,3
4,全程（内）,塘桥,南浦大桥,3
4,全程（内）,南浦大桥,西藏南路,2
4,全程（内）,西藏南路,鲁班路,2
4,全程（内）,鲁班路,大木桥路,3
4,全程（内）,大木桥路,东安路,2
4,全程（内）,东安路,上海体育场,2
4,全程（内）,上海体育场,上海体育馆,2
