line,station_id,station_name
1,station0111,莘庄
1,station0112,外环路
1,station0113,莲花路
1,station0114,锦江乐园
1,station0115,上海南站
1,station0116,漕宝路
1,station0117,上海体育馆
1,station0118,徐家汇
1,station0119,衡山路
1,station0120,常熟路
1,station0121,陕西南路
1,station0122,一大会址·黄陂南路
1,station0123,人民广场
1,station0124,新闸路
1,station0125,汉中路
1,station0126,上海火车站
1,station0127,中山北路
1,station0128,延长路
1,station0129,上海马戏城
1,station0130,汶水路
1,station0131,彭浦新村
1,station0132,共康路
1,station0133,通河新村
1,station0134,呼兰路
1,station0135,共富新村
1,station0136,宝安公路
1,station0137,友谊西路
1,station0138,富锦路
