line,station_id,station_name
8,station0820,沈杜公路
8,station0821,联航路
8,station0822,江月路
8,station0823,浦江镇
8,station0824,芦恒路
8,station0825,凌兆新村
8,station0826,东方体育中心
8,station0827,杨思
8,station0828,成山路
8,station0829,耀华路
8,station0830,中华艺术宫
8,station0831,西藏南路
8,station0832,陆家浜路
8,station0833,老西门
8,station0834,大世界
8,station0835,人民广场
8,station0836,曲阜路
8,station0837,中兴路
8,station0838,西藏北路
8,station0839,虹口足球场
8,station0840,曲阳路
8,station0841,四平路
8,station0842,鞍山新村
8,station0843,江浦路
8,station0844,黄兴路
8,station0845,延吉中路
8,station0846,黄兴公园
8,station0847,翔殷路
8,station0848,嫩江路
8,station0849,市光路
