line,station_id,station_name
4,station0401,上海体育馆
4,station0402,宜山路
4,station0403,虹桥路
4,station0404,延安西路
4,station0405,中山公园
4,station0406,金沙江路
4,station0407,曹杨路
4,station0408,镇坪路
4,station0409,中潭路
4,station0410,上海火车站
4,station0411,宝山路
4,station0412,海伦路
4,station0413,临平路
4,station0414,大连路
4,station0415,杨树浦路
4,station0416,浦东大道
4,station0417,世纪大道
4,station0418,向城路
4,station0419,蓝村路
4,station0420,塘桥
4,station0421,南浦大桥
4,station0422,西藏南路
4,station0423,鲁班路
4,station0424,大木桥路
4,station0425,东安路
4,station0426,上海体育场
