line,station_id,station_name
18,station1821,航头
18,station1822,下沙
18,station1823,鹤涛路
18,station1824,沈梅路
18,station1825,繁荣路
18,station1826,周浦
18,station1827,康桥
18,station1828,御桥
18,station1829,莲溪路
18,station1830,北中路
18,station1831,芳芯路
18,station1832,龙阳路
18,station1833,迎春路
18,station1834,杨高中路
18,station1835,民生路
18,station1836,昌邑路
18,station1837,丹阳路
18,station1838,平凉路
18,station1839,江浦公园
18,station1840,江浦路
18,station1841,抚顺路
18,station1842,国权路
18,station1843,复旦大学
18,station1844,上海财经大学
18,station1845,殷高路
18,station1846,长江南路
18,station1847,通南路
18,station1848,长江西路
18,station1850,爱辉路
18,station1851,呼兰路
18,station1852,康文路
